ID,Text,Class,Remarks
1,"জীবনে কিছু কিছু প্রশ্ন থাকে যার উত্তর কখনও মিলেনা, কিছু কিছু ভুল থাকে যা শোধরানো যায়না, আর কিছু কিছু কষ্ট থাকে যা কাউকে বলা যায়না",Sadness,
2,"কিছু কিছু মানুষ সত্যি খুব অসহায়। তাদের ভালোলাগা মন্দলাগা, ব্যথা বেদনা গুলো বলার মত কেউ থাকে না। তাদের কিছু অবাক্ত কথা মনের গভীরেই রয়ে যায়, আর কিছু কিছু স্মৃতি - এক সময় পরিনত হয় দীর্ঘশ্বাসে।",Sadness,
3,বাস্তবতা এতই কঠিন যে কখনও কখনও বুকের ভিতর গড়ে তোলা বিন্দু বিন্দু ভালবাসাও অসহায় হয়ে পড়ে।,Sadness,
4,"পৃথিবীতে অনেক ধরনের অত্যাচার আছে। ভালবাসার অত্যাচার হচ্ছে সবচেয়ে ভয়ানক অত্যাচার। এ অত্যাচারের বিরুদ্ধে কখনো কিছু বলা যায় না, শুধু সহ্য করে নিতে হয়।",Sadness,
5,যে সব রাজনৈতিক নেতারা জনগনের কল্যানে নিজেদের নিয়োজিত না করে শুধু বিলাস বহুল জীবন যাপন করে তাদের জন্য রাজনীতি করাকে আমি কঠিন করে তুলব,Anger,
6,"দ্বিতীয়, তৃতীয়, চতুর্থ, পঞ্চম প্রেম বলে কিছু নেই। মানুষ যখন প্রেমে পরে তখন প্রতিটি প্রেমই প্রথম প্রেম।",Happiness,
7,"যখন মানুষের খুব প্রিয় কেউ তাকে অপছন্দ, অবহেলা কিংবা ঘৃণা করে তখন প্রথম প্রথম মানুষ খুব কষ্ট পায় এবং চায় যে সব ঠিক হয়ে যাক । কিছুদিন পর সে সেই প্রিয় ব্যক্তিকে ছাড়া থাকতে শিখে যায়।",Disgust,
8,"যখন একা থাকার অভ্যাস হয়ে যায় ঠিক তখনি সৃষ্টিকর্তা কিছু মানুষের সন্ধান দেন। যখন তাদেরকে নিয়ে ভালো থাকার অভ্যাস হয়ে যায়, ঠিক তখনি আবার একা হয়ে যেতে হয়",Sadness,
9,সবচেয়ে খারাপ একাকিত্ব হলো নিজেকেও ভালো না লাগা,Disgust,
10,"বাবা-মা’র প্রথম সন্তান হচ্ছে চমৎকার একটি জীবন্ত খেলনা। এই খেলনার সবই ভালো। খেলনা যখন হাসে, বা-মা হাসে।",Happiness,
11,খেলনা যখন কাঁদে বাবা-মা’র মুখ অন্ধকার হয়ে যায়।,Sadness,
12,লোভী ও অহংকারী মানুষকে বিধাতা সবচাইতে বেশী ঘৃণা করে,Disgust,
13,মানুষের কষ্ট দেখাও কষ্টের কাজ,Sadness,
14,"বিষাদ ছুঁয়েছে আজ, মন ভালো নেই, মন ভালো নেই; ফাঁকা রাস্তা, শূন্য বারান্দা সারাদিন ডাকি সাড়া নেই, একবার ফিরেও চায় না কেউ পথ ভুলকরে চলে যায়, এদিকে আসে না আমি কি সহস্র সহস্র বর্ষ এভাবে তাকিয়ে থাকবো শূন্যতার দিকে?",Sadness,
15,"আমি, মেজর জিয়া, বাংলাদেশ লিবারেশন আর্মির প্রাদেশিক কমাণ্ডার-ইন-চিফ, শেখ মুজিবর রহমানের পক্ষে বাংলাদেশের স্বাধীনতা ঘোষণা করছি",Happiness,
16,প্রেম হল ধীর প্রশান্ত ও চিরন্তন,Happiness,
